date,breed,cohort,cow_id,weight,year,month,day
2015-12-04,RC,C2,81,251.74356,2015,December,4
2015-12-05,RC,C2,81,251.63752550649352,2015,December,5
2015-12-06,RC,C2,81,251.531491012987,2015,December,6
2015-12-07,RC,C2,81,251.42545651948052,2015,December,7
2015-12-08,RC,C2,81,251.31942202597403,2015,December,8
2015-12-09,RC,C2,81,251.21338753246752,2015,December,9
2015-12-10,RC,C2,81,251.10735303896104,2015,December,10
2015-12-11,RC,C2,81,251.00131854545455,2015,December,11
2015-12-12,RC,C2,81,250.89528405194807,2015,December,12
2015-12-13,RC,C2,81,250.78924955844155,2015,December,13
2015-12-14,RC,C2,81,250.68321506493507,2015,December,14
2015-12-15,RC,C2,81,250.57718057142858,2015,December,15
2015-12-16,RC,C2,81,250.47114607792207,2015,December,16
2015-12-17,RC,C2,81,250.3651115844156,2015,December,17
2015-12-18,RC,C2,81,250.2590770909091,2015,December,18
2015-12-19,RC,C2,81,250.1530425974026,2015,December,19
2015-12-20,RC,C2,81,250.0470081038961,2015,December,20
2015-12-21,RC,C2,81,249.94097361038962,2015,December,21
2015-12-22,RC,C2,81,249.8349391168831,2015,December,22
2015-12-23,RC,C2,81,249.72890462337662,2015,December,23
2015-12-24,RC,C2,81,249.62287012987014,2015,December,24
2015-12-25,RC,C2,81,249.51683563636362,2015,December,25
2015-12-26,RC,C2,81,249.41080114285714,2015,December,26
2015-12-27,RC,C2,81,249.30476664935065,2015,December,27
2015-12-28,RC,C2,81,249.19873215584417,2015,December,28
2015-12-29,RC,C2,81,249.09269766233766,2015,December,29
2015-12-30,RC,C2,81,248.98666316883117,2015,December,30
2015-12-31,RC,C2,81,248.8806286753247,2015,December,31
2016-01-01,RC,C2,81,248.77459418181817,2016,January,1
2016-01-02,RC,C2,81,248.6685596883117,2016,January,2
2016-01-03,RC,C2,81,248.5625251948052,2016,January,3
2016-01-04,RC,C2,81,248.4564907012987,2016,January,4
2016-01-05,RC,C2,81,248.3504562077922,2016,January,5
2016-01-06,RC,C2,81,248.24442171428572,2016,January,6
2016-01-07,RC,C2,81,248.1383872207792,2016,January,7
2016-01-08,RC,C2,81,248.03235272727272,2016,January,8
2016-01-09,RC,C2,81,247.92631823376624,2016,January,9
2016-01-10,RC,C2,81,247.82028374025973,2016,January,10
2016-01-11,RC,C2,81,247.71424924675324,2016,January,11
2016-01-12,RC,C2,81,247.60821475324676,2016,January,12
2016-01-13,RC,C2,81,247.50218025974027,2016,January,13
2016-01-14,RC,C2,81,247.39614576623376,2016,January,14
2016-01-15,RC,C2,81,247.29011127272727,2016,January,15
2016-01-16,RC,C2,81,247.1840767792208,2016,January,16
2016-01-17,RC,C2,81,247.07804228571428,2016,January,17
2016-01-18,RC,C2,81,246.9720077922078,2016,January,18
2016-01-19,RC,C2,81,246.8659732987013,2016,January,19
2016-01-20,RC,C2,81,246.7599388051948,2016,January,20
2016-01-21,RC,C2,81,246.6539043116883,2016,January,21
2016-01-22,RC,C2,81,246.54786981818182,2016,January,22
2016-01-23,RC,C2,81,246.4418353246753,2016,January,23
2016-01-24,RC,C2,81,246.33580083116883,2016,January,24
2016-01-25,RC,C2,81,246.22976633766234,2016,January,25
2016-01-26,RC,C2,81,246.12373184415583,2016,January,26
2016-01-27,RC,C2,81,246.01769735064934,2016,January,27
2016-01-28,RC,C2,81,245.91166285714286,2016,January,28
2016-01-29,RC,C2,81,245.80562836363637,2016,January,29
2016-01-30,RC,C2,81,245.69959387012986,2016,January,30
2016-01-31,RC,C2,81,245.59355937662338,2016,January,31
2016-02-01,RC,C2,81,245.4875248831169,2016,February,1
2016-02-02,RC,C2,81,245.38149038961038,2016,February,2
2016-02-03,RC,C2,81,245.2754558961039,2016,February,3
2016-02-04,RC,C2,81,245.1694214025974,2016,February,4
2016-02-05,RC,C2,81,245.0633869090909,2016,February,5
2016-02-06,RC,C2,81,244.9573524155844,2016,February,6
2016-02-07,RC,C2,81,244.85131792207793,2016,February,7
2016-02-08,RC,C2,81,244.7452834285714,2016,February,8
2016-02-09,RC,C2,81,244.63924893506493,2016,February,9
2016-02-10,RC,C2,81,244.53321444155844,2016,February,10
2016-02-11,RC,C2,81,244.42717994805196,2016,February,11
2016-02-12,RC,C2,81,244.32114545454544,2016,February,12
2016-02-13,RC,C2,81,244.21511096103896,2016,February,13
2016-02-14,RC,C2,81,244.10907646753247,2016,February,14
2016-02-15,RC,C2,81,244.00304197402596,2016,February,15
2016-02-16,RC,C2,81,243.89700748051948,2016,February,16
2016-02-17,RC,C2,81,243.790972987013,2016,February,17
2016-02-18,RC,C2,81,243.68493849350648,2016,February,18
2016-02-19,RC,C2,81,243.578904,2016,February,19
2016-02-20,RC,C2,81,243.68776608,2016,February,20
2016-02-21,RC,C2,81,243.79662815999998,2016,February,21
2016-02-22,RC,C2,81,243.90549024,2016,February,22
2016-02-23,RC,C2,81,244.01435232,2016,February,23
2016-02-24,RC,C2,81,244.1232144,2016,February,24
2016-02-25,RC,C2,81,244.23207648,2016,February,25
2016-02-26,RC,C2,81,244.34093855999998,2016,February,26
2016-02-27,RC,C2,81,244.44980064,2016,February,27
2016-02-28,RC,C2,81,244.55866272,2016,February,28
2016-02-29,RC,C2,81,244.6675248,2016,February,29
2016-03-01,RC,C2,81,244.77638688,2016,March,1
2016-03-02,RC,C2,81,244.88524895999998,2016,March,2
2016-03-03,RC,C2,81,244.99411104,2016,March,3
2016-03-04,RC,C2,81,245.10297312,2016,March,4
2016-03-05,RC,C2,81,245.2118352,2016,March,5
2016-03-06,RC,C2,81,245.32069728,2016,March,6
2016-03-07,RC,C2,81,245.42955935999998,2016,March,7
2016-03-08,RC,C2,81,245.53842144,2016,March,8
2016-03-09,RC,C2,81,245.64728352,2016,March,9
2016-03-10,RC,C2,81,245.7561456,2016,March,10
2016-03-11,RC,C2,81,245.86500768,2016,March,11
2016-03-12,RC,C2,81,245.97386975999999,2016,March,12
2016-03-13,RC,C2,81,246.08273184,2016,March,13
2016-03-14,RC,C2,81,246.19159392,2016,March,14
2016-03-15,RC,C2,81,246.300456,2016,March,15
2016-03-16,RC,C2,81,246.40931808,2016,March,16
2016-03-17,RC,C2,81,246.51818016,2016,March,17
2016-03-18,RC,C2,81,246.62704224,2016,March,18
2016-03-19,RC,C2,81,246.73590432,2016,March,19
2016-03-20,RC,C2,81,246.8447664,2016,March,20
2016-03-21,RC,C2,81,246.95362848,2016,March,21
2016-03-22,RC,C2,81,247.06249056,2016,March,22
2016-03-23,RC,C2,81,247.17135264,2016,March,23
2016-03-24,RC,C2,81,247.28021472,2016,March,24
2016-03-25,RC,C2,81,247.3890768,2016,March,25
2016-03-26,RC,C2,81,247.49793888,2016,March,26
2016-03-27,RC,C2,81,247.60680096,2016,March,27
2016-03-28,RC,C2,81,247.71566304,2016,March,28
2016-03-29,RC,C2,81,247.82452512,2016,March,29
2016-03-30,RC,C2,81,247.9333872,2016,March,30
2016-03-31,RC,C2,81,248.04224928,2016,March,31
2016-04-01,RC,C2,81,248.15111136,2016,April,1
2016-04-02,RC,C2,81,248.25997344,2016,April,2
2016-04-03,RC,C2,81,248.36883552,2016,April,3
2016-04-04,RC,C2,81,248.4776976,2016,April,4
2016-04-05,RC,C2,81,248.58655968,2016,April,5
2016-04-06,RC,C2,81,248.69542176,2016,April,6
2016-04-07,RC,C2,81,248.80428384,2016,April,7
2016-04-08,RC,C2,81,248.91314592,2016,April,8
2016-04-09,RC,C2,81,249.022008,2016,April,9
2016-04-10,RC,C2,81,249.13087008,2016,April,10
2016-04-11,RC,C2,81,249.23973216,2016,April,11
2016-04-12,RC,C2,81,249.34859424,2016,April,12
2016-04-13,RC,C2,81,249.45745632,2016,April,13
2016-04-14,RC,C2,81,249.5663184,2016,April,14
2016-04-15,RC,C2,81,249.67518048,2016,April,15
2016-04-16,RC,C2,81,249.78404256,2016,April,16
2016-04-17,RC,C2,81,249.89290464,2016,April,17
2016-04-18,RC,C2,81,250.00176672,2016,April,18
2016-04-19,RC,C2,81,250.1106288,2016,April,19
2016-04-20,RC,C2,81,250.21949088,2016,April,20
2016-04-21,RC,C2,81,250.32835296,2016,April,21
2016-04-22,RC,C2,81,250.43721504,2016,April,22
2016-04-23,RC,C2,81,250.54607712,2016,April,23
2016-04-24,RC,C2,81,250.6549392,2016,April,24
2016-04-25,RC,C2,81,250.76380128,2016,April,25
2016-04-26,RC,C2,81,250.87266336,2016,April,26
2016-04-27,RC,C2,81,250.98152544,2016,April,27
2016-04-28,RC,C2,81,251.09038752,2016,April,28
2016-04-29,RC,C2,81,251.1992496,2016,April,29
2016-04-30,RC,C2,81,251.30811168,2016,April,30
2016-05-01,RC,C2,81,251.41697376,2016,May,1
2016-05-02,RC,C2,81,251.52583584,2016,May,2
2016-05-03,RC,C2,81,251.63469792,2016,May,3
2016-05-04,RC,C2,81,251.74356,2016,May,4
2016-05-05,RC,C2,81,252.14547696202533,2016,May,5
2016-05-06,RC,C2,81,252.54739392405062,2016,May,6
2016-05-07,RC,C2,81,252.94931088607595,2016,May,7
2016-05-08,RC,C2,81,253.35122784810127,2016,May,8
2016-05-09,RC,C2,81,253.75314481012657,2016,May,9
2016-05-10,RC,C2,81,254.1550617721519,2016,May,10
2016-05-11,RC,C2,81,254.55697873417722,2016,May,11
2016-05-12,RC,C2,81,254.95889569620255,2016,May,12
2016-05-13,RC,C2,81,255.36081265822784,2016,May,13
2016-05-14,RC,C2,81,255.76272962025317,2016,May,14
2016-05-15,RC,C2,81,256.16464658227846,2016,May,15
2016-05-16,RC,C2,81,256.5665635443038,2016,May,16
2016-05-17,RC,C2,81,256.9684805063291,2016,May,17
2016-05-18,RC,C2,81,257.37039746835444,2016,May,18
2016-05-19,RC,C2,81,257.77231443037977,2016,May,19
2016-05-20,RC,C2,81,258.1742313924051,2016,May,20
2016-05-21,RC,C2,81,258.57614835443036,2016,May,21
2016-05-22,RC,C2,81,258.9780653164557,2016,May,22
2016-05-23,RC,C2,81,259.379982278481,2016,May,23
2016-05-24,RC,C2,81,259.78189924050633,2016,May,24
2016-05-25,RC,C2,81,260.18381620253166,2016,May,25
2016-05-26,RC,C2,81,260.585733164557,2016,May,26
2016-05-27,RC,C2,81,260.98765012658225,2016,May,27
2016-05-28,RC,C2,81,261.3895670886076,2016,May,28
2016-05-29,RC,C2,81,261.7914840506329,2016,May,29
2016-05-30,RC,C2,81,262.1934010126582,2016,May,30
2016-05-31,RC,C2,81,262.59531797468355,2016,May,31
2016-06-01,RC,C2,81,262.9972349367089,2016,June,1
2016-06-02,RC,C2,81,263.3991518987342,2016,June,2
