date,breed,cohort,cow_id,weight
12/4/2015,RC,C1,4024,268.980056
12/4/2015,RC,C1,4096,235.187452
12/4/2015,RC,C1,4095,284.402184
12/4/2015,RC,C1,4057,331.802548
12/4/2015,RC,C1,4009,274.196364
12/4/2015,RC,C1,4079,237.228616
12/4/2015,RC,C1,4074,277.371508
12/4/2015,RC,C1,4005,259.454624
12/4/2015,RC,C1,4075,296.875964
12/4/2015,RC,C1,4052,276.917916
2/24/2016,RC,C1,4024,280.319856
2/24/2016,RC,C1,4096,234.053472
2/24/2016,RC,C1,4095,292.56684
2/24/2016,RC,C1,4057,321.143136
2/24/2016,RC,C1,4009,275.783936
2/24/2016,RC,C1,4079,248.114824
2/24/2016,RC,C1,4074,294.381208
2/24/2016,RC,C1,4005,253.557928
2/24/2016,RC,C1,4075,301.63868
2/24/2016,RC,C1,4052,286.670144
5/4/2016,RC,C1,4024,282.36102
5/4/2016,RC,C1,4096,250.60958
5/4/2016,RC,C1,4095,299.37072
5/4/2016,RC,C1,4057,322.05032
5/4/2016,RC,C1,4009,297.10276
5/4/2016,RC,C1,4079,265.35132
5/4/2016,RC,C1,4074,294.8348
5/4/2016,RC,C1,4005,281.22704
5/4/2016,RC,C1,4075,311.8445
5/4/2016,RC,C1,4052,301.63868
7/20/2016,RC,C1,4024,343.59594
7/20/2016,RC,C1,4096,298.23674
7/20/2016,RC,C1,4095,331.802548
7/20/2016,RC,C1,4057,384.192424
7/20/2016,RC,C1,4009,345.8639
7/20/2016,RC,C1,4079,308.44256
7/20/2016,RC,C1,4074,337.92604
7/20/2016,RC,C1,4005,335.65808
7/20/2016,RC,C1,4075,345.8639
7/20/2016,RC,C1,4052,320.91634
10/4/2016,RC,C1,4024,360.60564
10/4/2016,RC,C1,4096,308.44256
10/4/2016,RC,C1,4095,356.06972
10/4/2016,RC,C1,4057,377.61534
10/4/2016,RC,C1,4009,351.5338
10/4/2016,RC,C1,4079,326.58624
10/4/2016,RC,C1,4074,357.2037
10/4/2016,RC,C1,4005,333.39012
10/4/2016,RC,C1,4075,365.14156
10/4/2016,RC,C1,4052,360.60564
12/4/2015,MC,C1,6689,326.359444
12/4/2015,MC,C1,6692,308.896152
12/4/2015,MC,C1,6723,288.03092
12/4/2015,MC,C1,6697,305.494212
12/4/2015,MC,C1,6734,249.4756
12/4/2015,MC,C1,6694,308.44256
12/4/2015,MC,C1,6702,290.979268
12/4/2015,MC,C1,6716,310.256928
12/4/2015,MC,C1,1,341.101184
12/4/2015,MC,C1,6735,318.194788
12/4/2015,MC,C1,6696,274.876752
12/4/2015,MC,C1,6715,267.165688
2/24/2016,MC,C1,6689,322.05032
2/24/2016,MC,C1,6692,322.05032
2/24/2016,MC,C1,6723,291.206064
2/24/2016,MC,C1,6697,309.349744
2/24/2016,MC,C1,6734,244.032496
2/24/2016,MC,C1,6694,299.824312
2/24/2016,MC,C1,6702,284.855776
2/24/2016,MC,C1,6716,310.71052
2/24/2016,MC,C1,1,186.426312
2/24/2016,MC,C1,6735,323.864688
2/24/2016,MC,C1,6696,268.980056
2/24/2016,MC,C1,6715,274.42316
5/4/2016,MC,C1,6689,328.8542
5/4/2016,MC,C1,6692,323.1843
5/4/2016,MC,C1,6723,283.495
5/4/2016,MC,C1,6697,308.44256
5/4/2016,MC,C1,6734,256.27948
5/4/2016,MC,C1,6694,294.8348
5/4/2016,MC,C1,6702,288.03092
5/4/2016,MC,C1,6716,315.24644
5/4/2016,MC,C1,1,342.46196
5/4/2016,MC,C1,6735,331.12216
5/4/2016,MC,C1,6696,151.95332
5/4/2016,MC,C1,6715,#VALUE!
7/20/2016,MC,C1,6689,344.72992
7/20/2016,MC,C1,6692,346.99788
7/20/2016,MC,C1,6723,318.64838
7/20/2016,MC,C1,6697,321.596728
7/20/2016,MC,C1,6734,278.051896
7/20/2016,MC,C1,6694,336.79206
7/20/2016,MC,C1,6702,319.78236
7/20/2016,MC,C1,6716,359.47166
7/20/2016,MC,C1,1,362.8736
7/20/2016,MC,C1,6735,357.657292
7/20/2016,MC,C1,6696,326.58624
7/20/2016,MC,C1,6715,284.62898
10/4/2016,MC,C1,6689,362.8736
10/4/2016,MC,C1,6692,356.06972
10/4/2016,MC,C1,6723,319.78236
10/4/2016,MC,C1,6697,331.12216
10/4/2016,MC,C1,6734,310.71052
10/4/2016,MC,C1,6694,333.39012
10/4/2016,MC,C1,6702,344.72992
10/4/2016,MC,C1,6716,362.8736
10/4/2016,MC,C1,1,369.67748
10/4/2016,MC,C1,6735,373.07942
10/4/2016,MC,C1,6696,356.06972
10/4/2016,MC,C1,6715,273.28918
12/4/2015,XC,C1,2021,350.626616
12/4/2015,XC,C1,2029,285.76296
12/4/2015,XC,C1,2030,299.37072
12/4/2015,XC,C1,2031,343.822736
12/4/2015,XC,C1,2017,280.319856
12/4/2015,XC,C1,2056,430.458808
12/4/2015,XC,C1,2053,301.63868
12/4/2015,XC,C1,2035,320.235952
12/4/2015,XC,C1,2038,335.884876
12/4/2015,XC,C1,2046,312.97848
12/4/2015,XC,C1,2048,322.503912
2/24/2016,XC,C1,2021,328.173812
2/24/2016,XC,C1,2029,288.938104
2/24/2016,XC,C1,2030,289.845288
2/24/2016,XC,C1,2031,339.286816
2/24/2016,XC,C1,2017,279.866264
2/24/2016,XC,C1,2056,438.623464
2/24/2016,XC,C1,2053,317.060808
2/24/2016,XC,C1,2035,308.44256
2/24/2016,XC,C1,2038,315.24644
2/24/2016,XC,C1,2046,308.896152
2/24/2016,XC,C1,2048,329.307792
5/4/2016,XC,C1,2021,#VALUE!
5/4/2016,XC,C1,2029,285.76296
5/4/2016,XC,C1,2030,300.5047
5/4/2016,XC,C1,2031,349.26584
5/4/2016,XC,C1,2017,#VALUE!
5/4/2016,XC,C1,2056,#VALUE!
5/4/2016,XC,C1,2053,344.72992
5/4/2016,XC,C1,2035,315.24644
5/4/2016,XC,C1,2038,351.5338
5/4/2016,XC,C1,2046,331.12216
5/4/2016,XC,C1,2048,339.06002
7/20/2016,XC,C1,2021,0
7/20/2016,XC,C1,2029,333.39012
7/20/2016,XC,C1,2030,344.72992
7/20/2016,XC,C1,2031,411.63474
7/20/2016,XC,C1,2017,299.37072
7/20/2016,XC,C1,2056,0
7/20/2016,XC,C1,2053,385.5532
7/20/2016,XC,C1,2035,365.14156
7/20/2016,XC,C1,2038,417.985028
7/20/2016,XC,C1,2046,371.94544
7/20/2016,XC,C1,2048,390.08912
10/4/2016,XC,C1,2029,328.8542
10/4/2016,XC,C1,2030,378.74932
10/4/2016,XC,C1,2031,433.18036
10/4/2016,XC,C1,2017,344.72992
10/4/2016,XC,C1,2053,374.2134
10/4/2016,XC,C1,2035,385.5532
10/4/2016,XC,C1,2038,424.10852
10/4/2016,XC,C1,2046,378.74932
10/4/2016,XC,C1,2048,401.42892
12/4/2015,MC,C2,655,151.95332
12/4/2015,MC,C2,656,200.941256
12/4/2015,MC,C2,669,195.498152
12/4/2015,MC,C2,9151,190.962232
12/4/2015,MC,C2,9161,164.880692
12/4/2015,MC,C2,9170,172.818552
12/4/2015,MC,C2,9174,182.343984
2/19/2016,MC,C2,655,165.107488
2/19/2016,MC,C2,656,214.095424
2/19/2016,MC,C2,669,197.31252
2/19/2016,MC,C2,9151,206.837952
2/19/2016,MC,C2,9161,154.22128
2/19/2016,MC,C2,9170,166.468264
2/19/2016,MC,C2,9174,185.519128
5/4/2016,MC,C2,655,164.4271
5/4/2016,MC,C2,656,215.4562
5/4/2016,MC,C2,669,201.84844
5/4/2016,MC,C2,9151,222.26008
5/4/2016,MC,C2,9161,167.82904
5/4/2016,MC,C2,9170,167.82904
5/4/2016,MC,C2,9174,192.7766
7/22/2016,MC,C2,655,195.04456
7/22/2016,MC,C2,656,255.1455
7/22/2016,MC,C2,669,242.67172
7/22/2016,MC,C2,9151,267.61928
7/22/2016,MC,C2,9161,202.98242
7/22/2016,MC,C2,9170,201.84844
7/22/2016,MC,C2,9174,226.796
9/19/2016,MC,C2,655,241.53774
9/19/2016,MC,C2,656,297.10276
9/19/2016,MC,C2,669,283.495
9/19/2016,MC,C2,9151,301.63868
9/19/2016,MC,C2,9161,232.4659
9/19/2016,MC,C2,9170,243.8057
9/19/2016,MC,C2,9174,283.495
12/4/2015,XC,C2,6708,242.67172
12/4/2015,XC,C2,6709,268.072872
12/4/2015,XC,C2,6712,188.694272
12/4/2015,XC,C2,6713,220.899304
12/4/2015,XC,C2,6718,210.92028
12/4/2015,XC,C2,6721,251.74356
12/4/2015,XC,C2,6722,273.969568
12/4/2015,XC,C2,6724,194.137376
2/19/2016,XC,C2,6708,244.032496
2/19/2016,XC,C2,6709,263.536952
2/19/2016,XC,C2,6712,188.694272
2/19/2016,XC,C2,6713,232.692696
2/19/2016,XC,C2,6718,234.053472
2/19/2016,XC,C2,6721,244.486088
2/19/2016,XC,C2,6722,265.35132
2/19/2016,XC,C2,6724,206.837952
5/4/2016,XC,C2,6708,251.74356
5/4/2016,XC,C2,6709,265.35132
5/4/2016,XC,C2,6712,204.1164
5/4/2016,XC,C2,6713,251.74356
5/4/2016,XC,C2,6718,208.65232
5/4/2016,XC,C2,6721,261.94938
5/4/2016,XC,C2,6722,276.69112
5/4/2016,XC,C2,6724,217.72416
7/22/2016,XC,C2,6708,289.1649
7/22/2016,XC,C2,6709,294.8348
7/22/2016,XC,C2,6712,246.07366
7/22/2016,XC,C2,6713,280.09306
7/22/2016,XC,C2,6718,230.19794
7/22/2016,XC,C2,6721,288.03092
7/22/2016,XC,C2,6722,307.30858
7/22/2016,XC,C2,6724,250.60958
9/19/2016,XC,C2,6708,333.39012
9/19/2016,XC,C2,6709,342.46196
9/19/2016,XC,C2,6712,290.29888
9/19/2016,XC,C2,6713,336.111672
9/19/2016,XC,C2,6718,292.56684
9/19/2016,XC,C2,6721,337.92604
9/19/2016,XC,C2,6722,361.73962
9/19/2016,XC,C2,6724,292.56684
12/4/2015,RC,C2,35,239.042984
12/4/2015,RC,C2,44,258.54744
12/4/2015,RC,C2,46,227.249592
12/4/2015,RC,C2,48,214.095424
12/4/2015,RC,C2,63,215.4562
12/4/2015,RC,C2,67,245.393272
12/4/2015,RC,C2,73,199.58048
12/4/2015,RC,C2,74,265.804912
12/4/2015,RC,C2,87,240.40376
12/4/2015,RC,C2,96,213.18824
12/4/2015,RC,C2,81,251.74356
2/19/2016,RC,C2,35,228.610368
2/19/2016,RC,C2,44,252.650744
2/19/2016,RC,C2,46,212.734648
2/19/2016,RC,C2,48,223.620856
2/19/2016,RC,C2,63,218.631344
2/19/2016,RC,C2,67,250.836376
2/19/2016,RC,C2,73,191.415824
2/19/2016,RC,C2,74,252.197152
2/19/2016,RC,C2,87,241.764536
2/19/2016,RC,C2,96,213.641832
2/19/2016,RC,C2,81,243.578904
5/4/2016,RC,C2,35,230.19794
5/4/2016,RC,C2,44,256.27948
5/4/2016,RC,C2,46,235.86784
5/4/2016,RC,C2,48,230.19794
5/4/2016,RC,C2,63,210.92028
5/4/2016,RC,C2,67,254.01152
5/4/2016,RC,C2,73,208.65232
5/4/2016,RC,C2,74,233.59988
5/4/2016,RC,C2,87,251.74356
5/4/2016,RC,C2,96,214.32222
5/4/2016,RC,C2,81,251.74356
7/22/2016,RC,C2,35,254.01152
7/22/2016,RC,C2,44,288.03092
7/22/2016,RC,C2,46,260.8154
7/22/2016,RC,C2,48,264.21734
7/22/2016,RC,C2,63,247.20764
7/22/2016,RC,C2,67,288.03092
7/22/2016,RC,C2,73,229.06396
7/22/2016,RC,C2,74,281.22704
7/22/2016,RC,C2,87,288.03092
7/22/2016,RC,C2,96,251.74356
7/22/2016,RC,C2,81,283.495
9/19/2016,RC,C2,35,292.56684
9/19/2016,RC,C2,44,326.58624
9/19/2016,RC,C2,46,292.56684
9/19/2016,RC,C2,48,304.360232
9/19/2016,RC,C2,63,282.36102
9/19/2016,RC,C2,67,334.5241
9/19/2016,RC,C2,73,272.1552
9/19/2016,RC,C2,74,310.71052
9/19/2016,RC,C2,87,319.78236
9/19/2016,RC,C2,96,290.752472
9/19/2016,RC,C2,81,317.5144
